productName,price,image,category,link,teint,color,type_peau
Masque anti rides - Soin de nuit - L'Oréal Paris,"12,90 €",https://www.sagacosmetics.com/18211-large_default/creme-masque-nuit-revitalift-50ml.jpg,soin-de-nuit,https://www.sagacosmetics.com/creme-masque-nuit-revitalift-50ml.html,,,anti_age
Crème huile nourrissante L'Oréal,"9,90 €",https://www.sagacosmetics.com/17214-large_default/creme-huile-nourrissante.jpg,soin-de-nuit,https://www.sagacosmetics.com/creme-huile-nourrissante.html,,,anti_age
Pot de crème de nuit au soja - Age perfect,"7,00 €",https://www.sagacosmetics.com/15187-large_default/creme-nuit-raffermi-soja-age-perf-50ml.jpg,soin-de-nuit,https://www.sagacosmetics.com/creme-nuit-raffermi-soja-age-perf-50ml.html,,,anti_age
Pot de crème masque de nuit anti-âge - REVITALIFT,"4,00 €",https://www.sagacosmetics.com/15196-large_default/creme-masq-nuit-antiage-revitalift-15ml.jpg,soin-de-nuit,https://www.sagacosmetics.com/creme-masq-nuit-antiage-revitalift-15ml.html,,,anti_age
Crème huile nourrissante L'Oréal,"9,90 €",https://www.sagacosmetics.com/17214-large_default/creme-huile-nourrissante.jpg,soin-de-nuit,https://www.sagacosmetics.com/creme-huile-nourrissante.html,,,hydratation
Démaquillant visage - Lingette hydratante - L'Oréal Paris,"3,90 €",https://www.sagacosmetics.com/18756-large_default/lingettes-demaquillantes-25u.jpg,nettoyant-demaquillant,https://www.sagacosmetics.com/lingettes-demaquillantes-25u.html,,,peau_sensible
Lotion visage - Peau ferme - L'Oréal Paris,"4,20 €",https://www.sagacosmetics.com/17965-large_default/tonique-fleurs-rares-400ml.jpg,nettoyant-demaquillant,https://www.sagacosmetics.com/tonique-fleurs-rares-400ml.html,,,peau_sensible
Eau micellaire purifiante - L'oréal,"3,00 €",https://www.sagacosmetics.com/16941-large_default/eau-micellaire-purifiante-400ml.jpg,nettoyant-demaquillant,https://www.sagacosmetics.com/eau-micellaire-purifiante-400ml.html,,,peau_sensible
Lotion visage - Peau ferme - L'Oréal Paris,"4,20 €",https://www.sagacosmetics.com/17965-large_default/tonique-fleurs-rares-400ml.jpg,nettoyant-demaquillant,https://www.sagacosmetics.com/tonique-fleurs-rares-400ml.html,,,peau_seche
Nettoyant Pure power Men Expert,"3,00 €",https://www.sagacosmetics.com/9935-large_default/nettoyant-pure-power-men-expert.jpg,nettoyant-demaquillant,https://www.sagacosmetics.com/nettoyant-pure-power-men-expert.html,,,peau_mixte_a_grasse
